Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"2 camere decomandate, Plopilor, parter ?nalt
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",110000.00 ,Dec.,58.55 mp
"2 camere decomandate, superfinisat, la cheie, etaj 1, Titulescu - Interservisan
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",189000.00 ,Dec.,56 mp
"2 camere finisate - 60 mp, Maurer Panoramic, Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",170000.00 ,Semidec.,60 mp
"2 camere Grigorescu Mobilat Utilat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",93000.00 ,Semidec.,42 mp
"2 camere La cheie Superfinisate Marasti zona Expo Transilvania
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",130000.00 ,Dec.,52 mp
"2 camere open space, mobilat LUX, parcare,Cartierul Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",106999.00 ,Dec.,58 mp
"2 Camere Semi/Decomandate, Intermediar, Semifinisat, Parcare, Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",100320.00 ,Dec.,52 mp
"2 Camere Semi/Decomandate, Semifinisat, Parcare, Intre Lacuri
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Intre Lacuri",103030.00 ,Semidec.,55 mp
"2 camere semidecomandat! Zona Fântânele!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",140000.00 ,Semidec.,46 mp
"2 camere ULTRACENTRAL, c-tie noua, 42 mp, Clinicilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",142900.00 ,Dec.,42 mp
"2 camere zona Big, 48 mp, 2 balcoane
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Manastur",105000.00 ,Dec.,48 mp
"2 camere zona Facultatii de Litere
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",110000.00 ,Semidec.,45 mp
"2 camere zona FSEGA
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",150000.00 ,Dec.,65 mp
"2 Camere Zona Platinia USAMV
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",152000.00 ,Semidec.,53 mp
"2 camere,  bloc nou, gradina 40mp, parcare, Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",125000.00 ,Semidec.,45 mp
"2 camere,  zona strazii Fabricii,  imobil nou, cu parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",125000.00 ,Semidec.,52 mp
"2 camere, 2 balcoane, 56 mp, parcare subterana, zona Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",147500.00 ,Semidec.,56.23 mp
"2 camere, 35mp, mobilat si utilat, Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",77000.00 ,Semidec.,35 mp
"2 camere, 36 mp, conf. 2, beci, PADIN, Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",75000.00 ,Semidec.,36 mp
"2 camere, 39 mp, balcon, etaj 2/4, lift, garaj, Beta Residence Iris
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",65500.00 ,Semidec.,39 mp
